Name,Album,Artist,URL
Fearless Pt. II,NCS: The Best of 2017,Various Artists,https://youtu.be/b5BNUa_op2o?si=nC1SBlng41BAbaCj
Fearless,Fearless,Lost Sky,https://youtu.be/b5BNUa_op2o?si=ym17SeI7mpybKeHq
Firefly,Firefly,Jim Yosef,https://youtu.be/psuRGfAaju4?si=cNppHO6lw4D55bz6
Bhootiya,Stree (Background Score),Sachin–Jigar,https://youtube.com/shorts/qUUM-8bH-Vw?si=Q3uflKWrxnX7Rcme
Theme of Ek Thi Daayan,Ek Thi Daayan,Vishal Bhardwaj,https://youtu.be/7vJS4twx02U?si=8XSuo-s_-BeVvEN3
Aayega Aane Wala,Mahal (1949),Lata Mangeshkar,https://youtu.be/e24S6d4e3QA?si=6GFO7Kzg4uoaOS0Z
