Name,Album,Artist,URL
Sick Thoughts,Sick Thoughts,Lou Bliss,https://youtu.be/gFV411Z075s?si=xB8sgLk2yrIGEvqV
Mo Bamba,MUDBOY,Sheck Wes,https://youtu.be/VWoIpDVkOH0?si=xZz9v3pErA9n0-Dj
MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X,https://youtu.be/6swmTBVI83k?si=mhtBw1w0OsMgzK3I
Khoon Choos Le,Go Goa Gone,Arjun Kanungo,https://youtu.be/FObSokq76CQ?si=yN08gQrwhNI5kvMM
Dhakka Laga Bukka,Yuva,"A. R. Rahman, Mehboob",https://youtu.be/T_GOpW7dAsg?si=r3wV5aY3GWVekEsq
Bandeh,Black Friday,Indian Ocean,https://youtu.be/kkEP4heu3-M?si=mg5r2HBXrG9erzgj
Bekhayali,Kabir Singh,Sachet Tandon,https://youtu.be/VOLKJJvfAbg?si=rYh-fYaxoFhSaF02
