Name,Album,Artist,URL
Agar Main Kahoon,Lakshya,"Udit Narayan, Alka Yagnik",https://youtu.be/DAYszemgPxc?si=M0l2RLRxbDUXM6zL
Dil Se Re,Dil Se,A. R. Rahman,https://youtu.be/8ToEwbzM-0c?si=kjs_iddk69JzKyOP
Aazaadiyan,Udaan,"Amit Trivedi, Neuman Pinto",https://youtu.be/ugm2SOScEqA?si=BlkCkYP7Jdgg2Ep4
Hairat,Anjaana Anjaani,Lucky Ali,https://youtu.be/wqTQNs9sO6M?si=rj782LRu7KvtRcAz
Behka,Ghajini,Karthik,https://youtu.be/ME7yIky1pgI?si=au5SjfNyds_dvOkF
