Name,Album,Artist,URL
Get You The Moon (feat. Snøw),Get You The Moon (feat. Snøw),Kina,https://youtu.be/eRnIks59Pjw?si=7L_FEVYUnOEfETJX
Creep,Creep,ORYL,https://youtu.be/XFkzRNyygfk?si=-nxgZDPAx5fmjwQJ
White Ferrari X I Know The End,White Ferrari X I Know The End,Erin LeCount,https://youtu.be/zK6WJPxsjGg?si=fdC8COjHK1VK25he
Six Feet Under,Six Feet Under,Billie Eilish,https://youtu.be/FQ0iq10ULNA?si=TVu3GcdKjDINcRaX
Emotional Attyachar,Dev.D,Band Masters Rangeela And Rasila,Watch
Tujhe Bhula Diya,Anjaana Anjaani,Mohit Chauhan,Watch
